,sample,sample2,x,y,crust ,replicate,total soil SSA (m2/kg), % clay, % fine silt, % coarse silt, %fine sand, % coarse sand, % silt, % sand,CaCO3 (g/g),SA,SSA (m2 g-1),local_SOC (mg g-1),gypsum (%),total_soil_SSA (m2/g),CaCO3_SSA (%),porosity,pH,porosity_min,porosity_max,Z_in
0,GMP2,PD_1,549681.55,4096320.62,PD,1,163.36,0.648,38.944,39.93,20.448,0.028,78.874,20.476,0.184,0.017,0.094,5.363,0.602283857,0.16336,57.33771187,0.47,7.91,0.42,0.52,0.0028000000000000017
1,GMP3,PD_2,549676.96,4096325.19,PD,2,219.24,1.248,53.258,32.986,12.512,0.0,86.244,12.512,0.188,0.016,0.085,5.515,3.670712721,0.21924,38.87308843,0.47,7.91,0.42,0.52,0.0028000000000000017
2,GMP4,PD_3,549675.67,4096327.36,PD,3,199.0,1.06,47.944,34.516,16.478,0.0,82.46,16.478,0.206,0.017,0.084,6.001,0.857192708,0.199,42.24118652,0.47,7.91,0.42,0.52,0.0028000000000000017
3,GMP5,IC_1,549498.59,4096068.01,IC,4,205.28,0.85,51.02,32.214,15.662,0.244,83.234,15.906,0.276,0.021,0.076,8.071,2.730615465,0.20528,37.20147466,0.48,8.05,0.44,0.52,0.0025000000000000014
4,GMP6,IC_2,549500.02,4096068.49,IC,5,224.88,2.428,43.1,31.422,20.78,2.266,74.522,23.046,0.299,0.028,0.092,6.96,1.099754523,0.22488,41.10497325,0.48,8.05,0.44,0.52,0.0025000000000000014
5,GMP7,IC_3,549500.34,4096067.36,IC,6,248.7,2.74,48.074,29.312,18.206,1.636,77.386,19.842,0.316,0.027,0.086,7.707,0.655219613,0.2487,34.44112912,0.48,8.05,0.44,0.52,0.0025000000000000014
6,GMP8,MC_1,549516.41,4096067.41,MC,7,230.48,1.422,53.61,30.29,13.228,1.444,83.9,14.672,0.233,0.02,0.086,6.376,0.705627733,0.23048,37.37741081,0.51,8.37,0.49,0.53,0.001400000000000001
7,GMP9,MC_2,549516.46,4096068.73,MC,8,254.0,2.512,53.042,30.23,11.984,2.168,83.272,14.152,0.254,0.02,0.078,6.444,7.079540293,0.254,30.63465623,0.51,8.37,0.49,0.53,0.001400000000000001
8,GMP10,MC_3,549517.43,4096068.97,MC,9,261.36,2.658,54.638,29.984,11.056,1.624,84.622,12.68,0.253,0.025,0.097,6.484,1.317429545,0.26136,37.14207441,0.51,8.37,0.49,0.53,0.001400000000000001
9,GMP12,Ads_1,549665.72,4096164.42,MC2,10,294.94,3.53,55.846,26.994,12.736,0.884,82.84,13.62,0.326,0.031,0.094,11.268,0.904113665,0.29494,31.77300288,0.55,8.53,0.51,0.59,0.0004000000000000006
10,GMP13,Ads_2,549663.26,4096162.95,MC2,11,168.36,1.09,35.896,33.58,28.13,1.304,69.476,29.434,0.287,0.026,0.09,11.036,0.738336137,0.16836,53.34499538,0.55,8.53,0.51,0.59,0.0005000000000000007
11,GMP14,SD_1,549664.18,4096162.39,SD,12,208.18,1.98,40.874,34.694,21.914,0.548,75.568,22.462,0.304,0.026,0.085,7.021,0.684866578,0.20818,40.84467376,0.53,8.05,0.48,0.58,0.0025000000000000014
12,GMP15,SD_2,549662.57,4096163.11,SD,13,225.14,2.174,45.102,31.026,19.634,2.056,76.128,21.69,0.311,0.028,0.09,11.288,0.830244197,0.22514,39.78995993,0.53,8.05,0.48,0.58,0.0025000000000000014
13,GMP16,SD_3,549655.17,4096163.83,SD,14,231.96,1.41,53.796,30.69,14.044,0.052,84.486,14.096,0.231,0.022,0.094,6.382,17.0889363,0.23196,40.64144872,0.53,8.05,0.48,0.58,0.0025000000000000014
14,GMP18,LI_1,549812.13,4096405.71,LI,15,331.82,4.252,62.094,24.744,5.074,3.79,86.838,8.864,0.287,0.029,0.101,7.683,1.140196701,0.33182,30.3347672,0.54,8.09,0.49,0.59,0.0024000000000000015
15,GMP19,LI_2,549814.47,4096402.67,LI,16,219.46,1.97,46.104,28.098,16.424,7.04,74.202,23.464,0.242,0.022,0.092,11.266,0.904982487,0.21946,41.81895346,0.54,8.09,0.49,0.59,0.0023000000000000017
16,GMP20,LI_3,549818.07,4096402.15,LI,17,276.16,3.164,53.328,25.838,12.35,5.098,79.166,17.448,0.271,0.027,0.101,10.191,0.570379003,0.27616,36.66405572,0.54,8.09,0.49,0.59,0.0024000000000000015
