time,index,date,day,hour,time_ac,crust,replicate,replicate2,fc,fh,xc_soil,xc_atm_pd,xc_atm_sd,xh_atm,xh_soil,swc,ts,ta,rh_soil,rh_atm,ts_ibutton,tsurf,dp_s_ibutton,dp_s,dp_surf,dp_a,par,vpd,pa,ws,gs,wd,mat_5cm,mat_0cm,swc_md
2019-01-01 00:00:00,7488,2018-12-31 00:00:00,378,24,378,PD,1,1,-0.099539505,0.001724996,383.446162,418.9657136,405.8827181,6.300615032,7.222462119,0.073694805,4.847,2.769,100,92.03666667,3.09,0.51,3.09,4.847,-0.630383554,1.605305194,1.2,0.170910782,998.7307666666667,0.6666666666666666,1.67,70.2,0.0,-10.481007824888856,
2019-01-01 01:00:00,7489,2019-01-01 00:00:00,379,1,378.0416667,PD,1,1,-0.111633748,0.001196872,378.7161229,418.5631551,403.6578322,6.334334282,6.97031108,0.07307161,4.164,1.497666667,100,93.29666667,2.246666667,-0.33,2.246666667,4.164,-1.27707961,0.534803836,1.2,0.165095866,998.5457333333334,0.5566666666666666,1.67,63.666666666666664,0.0,-8.736725925303222,
2019-01-01 02:00:00,7490,2019-01-01 00:00:00,379,2,378.0833333,PD,1,1,-0.123696212,0.001517565,374.6572053,418.8394963,404.7393419,5.923664031,6.723735598,0.072496397,3.497333333,1.38,100,92.97,1.746666667,-0.5,1.746666667,3.497333333,-1.493195688,0.369752185,1.2,0.15660788,998.2141666666666,0.89,2.1166666666666667,54.76666666666667,0.0,-9.172656646201093,
2019-01-01 03:00:00,7491,2019-01-01 00:00:00,379,3,378.125,PD,1,1,-0.128879164,0.001171333,371.3133244,417.3416301,402.9247353,5.79240613,6.405822244,0.072017981,2.941666667,0.494,100,94.39,1.24,-1.333333333,1.24,2.941666667,-2.114744703,-0.300551545,1.2,0.145532417,998.3508333333334,0.22,1.45,35.1,0.0,-7.242983647464892,
2019-01-01 04:00:00,7492,2019-01-01 00:00:00,379,4,378.1666667,PD,1,1,-0.138232573,0.000871392,367.8078587,417.2057775,403.1277746,5.80030525,6.254151664,0.071596012,2.389333333,-0.022333333,100,95.48333333,0.57,-1.833333333,0.57,2.389333333,-2.45644393,-0.655876472,1.2,0.128665077,998.1832666666666,0.5566666666666666,1.5599999999999998,36.5,0.0,-5.7875391878317535,
2019-01-01 05:00:00,7493,2019-01-01 00:00:00,379,5,378.2083333,PD,1,1,-0.144604549,0.000415031,365.9827108,417.7365425,403.5796697,5.891208038,6.105902885,0.071149384,1.878,-0.164333333,100,96.26666667,0.236666667,-2.166666667,0.236666667,1.878,-2.678305268,-0.685472438,1.2,0.12700433,997.7349666666665,0.44333333333333336,1.2266666666666666,44.43333333333334,0.0,-4.758576510118425,
2019-01-01 06:00:00,7494,2019-01-01 00:00:00,379,6,378.25,PD,1,1,-0.148512754,0.000438207,364.4509283,417.6529457,403.2930497,5.731747293,5.95740203,0.070751198,1.42,-0.069,100,95.63666667,-0.1,-2.333333333,-0.1,1.42,-2.93209092,-0.680350034,1.2,0.127203489,997.6066333333333,0.6666666666666666,1.67,52.86666666666667,0.0,-5.576316542152459,
2019-01-01 07:00:00,7495,2019-01-01 00:00:00,379,7,378.2916667,PD,1,1,-0.1541121,0.000516828,362.151461,417.3284919,403.0431126,5.476926208,5.742104862,0.070385288,1.053333333,-0.357666667,100,96.57,-0.44,-2.5,-0.44,1.053333333,-2.967974752,-0.834967539,1.2,0.127967992,997.89,0.44333333333333336,1.4466666666666665,54.76666666666667,0.0,-4.359742748199224,
2019-01-01 08:00:00,7496,2019-01-01 00:00:00,379,8,378.3333333,PD,1,1,-0.157231981,-0.000304747,360.3697953,416.613125,403.2895806,5.965117909,5.809265371,0.070035432,0.662333333,-1.109,100,97.81666667,-0.94,-3.343333333,-0.94,0.662333333,-3.637236156,-1.409059746,5.366666667,0.115495565,998.4524666666666,0.7799999999999999,1.7833333333333332,43.06666666666667,0.0,-2.748902552058878,
2019-01-01 09:00:00,7497,2019-01-01 00:00:00,379,9,378.375,PD,1,1,-0.152422592,-0.00376574,362.6831437,417.1681493,405.3979585,8.636045117,6.716710134,0.069783091,0.371666667,-0.107333333,100,96.11,-0.773333333,-2,-0.773333333,0.371666667,-2.534310951,-0.651007919,50.36666667,0.121421826,999.2582666666667,0.6666666666666666,1.45,54.300000000000004,0.0,-4.965332157060735,
2019-01-01 10:00:00,7498,2019-01-01 00:00:00,379,10,378.4166667,PD,1,1,-0.129846611,-0.002578686,374.0431665,420.5673541,406.7922919,13.1991323,11.88715339,0.069783089,0.658,5.357,100,78.19333333,1.24,5.016666667,1.24,0.658,1.533926839,1.863954775,335.3666667,0.277889416,999.4865999999998,0.5533333333333333,1.4466666666666665,47.23333333333333,0.0,-31.58035324526555,
2019-01-01 11:00:00,7499,2019-01-01 00:00:00,379,11,378.4583333,PD,1,1,0.099423149,0.021345102,461.9678323,426.2675678,412.211931,7.303274817,18.2336225,0.071952163,4.345,14.77866667,100,32.40333333,9.453333333,21.55,9.453333333,4.345,4.265352429,-1.616280329,884.5333333,0.99087816,999.4558333333333,0.4466666666666667,1.34,46.29999999999999,0.0,-153.27481874385487,
2019-01-01 12:00:00,7500,2019-01-01 00:00:00,379,12,378.5,PD,1,1,0.395119488,0.035704853,570.9800662,429.4646485,424.8946474,4.715891317,23.67497314,0.076164017,9.973333333,19.34166667,99.78333333,18.65333333,15.98,28.38333333,15.94584803,9.940809713,2.183334298,-5.146481288,1047.033333,1.640631259,998.8732666666666,0.44333333333333336,1.67,141.33333333333334,-0.2834265651424128,-233.68212030504702,0.074159589
